Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Unfurnished,East,3.0,1.0,30000000.0,3.0,1190.0,5.0,12.0
Semi-Furnished,East,1.0,2.0,2400000.0,1.0,420.0,4.0,7.0
Unfurnished,East,2.0,2.0,21100000.0,2.0,790.0,18.0,30.0
Unfurnished,East,1.0,3.0,2000000.0,1.0,,3.0,5.0
Unfurnished,East,1.0,2.0,3600000.0,1.0,450.0,2.0,7.0
Unfurnished,North,3.0,2.0,19500000.0,3.0,1090.0,10.0,28.0
Unfurnished,East,1.0,1.0,5000000.0,1.0,400.0,5.0,7.0
Furnished,East,1.0,2.0,2700000.0,1.0,,3.0,3.0
Semi-Furnished,East,1.0,3.0,6300000.0,1.0,438.0,6.0,16.0
Unfurnished,North - East,2.0,2.0,15500000.0,2.0,833.0,19.0,23.0
Unfurnished,North,3.0,1.0,10000000.0,3.0,900.0,5.0,7.0
Furnished,East,2.0,2.0,12000000.0,2.0,,5.0,17.0
Semi-Furnished,East,2.0,2.0,12000000.0,2.0,,16.0,17.0
Semi-Furnished,East,2.0,2.0,12000000.0,2.0,,17.0,17.0
Furnished,East,2.0,2.0,13000000.0,2.0,,5.0,17.0
Semi-Furnished,East,3.0,3.0,30000000.0,3.0,1300.0,14.0,29.0
Semi-Furnished,East,2.0,2.0,11000000.0,1.0,518.0,3.0,6.0
Unfurnished,East,2.0,2.0,2800000.0,2.0,,1.0,4.0
Unfurnished,South,1.0,2.0,14500000.0,2.0,720.0,1.0,2.0
Unfurnished,East,1.0,2.0,5000000.0,1.0,,5.0,7.0
Unfurnished,East,2.0,1.0,10900000.0,2.0,640.0,17.0,32.0
Unfurnished,East,2.0,2.0,9000000.0,2.0,,15.0,15.0
Semi-Furnished,East,2.0,2.0,7000000.0,1.0,,1.0,19.0
Unfurnished,East,2.0,2.0,3000000.0,1.0,385.0,4.0,4.0
Unfurnished,East,2.0,1.0,,2.0,725.0,7.0,18.0
Unfurnished,East,2.0,2.0,2810000.0,1.0,384.0,19.0,36.0
Unfurnished,East,1.0,2.0,4800000.0,1.0,,4.0,8.0
Semi-Furnished,North - East,2.0,1.0,7600000.0,1.0,450.0,13.0,27.0
Unfurnished,East,2.0,1.0,11100000.000000002,2.0,650.0,21.0,32.0
Unfurnished,East,2.0,1.0,3500000.0,1.0,510.0,8.0,18.0
Unfurnished,East,2.0,2.0,22000000.0,2.0,810.0,29.0,30.0
Unfurnished,North - East,2.0,1.0,17600000.0,2.0,800.0,2.0,29.0
Semi-Furnished,East,2.0,1.0,8500000.0,2.0,670.0,5.0,7.0
Unfurnished,East,2.0,1.0,4950000.0,1.0,500.0,2.0,24.0
Unfurnished,North - East,2.0,1.0,17700000.0,2.0,804.0,2.0,29.0
Unfurnished,East,2.0,2.0,6000000.0,2.0,,16.0,22.0
Unfurnished,East,2.0,2.0,10500000.0,2.0,,8.0,27.0
Semi-Furnished,East,3.0,2.0,23500000.0,3.0,1040.0,16.0,28.0
Unfurnished,North - East,2.0,1.0,10900000.0,2.0,672.0,22.0,29.0
Unfurnished,East,1.0,1.0,3500000.0,1.0,500.0,1.0,1.0
Unfurnished,East,2.0,1.0,11399999.999999998,2.0,650.0,23.0,32.0
Unfurnished,East,2.0,2.0,3300000.0,1.0,450.0,10.0,18.0
,East,2.0,2.0,4100000.0,2.0,,3.0,4.0
,East,1.0,2.0,4100000.0,1.0,,0.0,4.0
,East,1.0,2.0,,1.0,,3.0,3.0
Semi-Furnished,East,1.0,2.0,2390000.0,1.0,,1.0,7.0
Unfurnished,East,1.0,2.0,1950000.0,1.0,,4.0,4.0
Unfurnished,South,1.0,2.0,4000000.0,1.0,525.0,1.0,4.0
Unfurnished,East,1.0,2.0,3500000.0,1.0,,3.0,5.0
Unfurnished,East,2.0,2.0,6500000.0,2.0,620.0,23.0,24.0
Semi-Furnished,East,2.0,2.0,4250000.0,2.0,,4.0,12.0
Semi-Furnished,East,2.0,2.0,5100000.0,1.0,434.0,5.0,7.0
Unfurnished,East,2.0,2.0,15500000.0,2.0,769.0,11.0,17.0
